statement_id,statement_date,period_start,period_end,landlord_reg_number,landlord_name,landlord_email,landlord_phone,landlord_address,bank_account_name,bank_name,bank_account_number,bank_sort_code,property_alias,property_type,property_address,property_city,property_postcode,property_bedrooms,tenant_first_name,tenant_last_name,tenant_email,tenant_phone,lease_start_date,lease_end_date,lease_monthly_rent,lease_deposit_amount,assigned_agent_name,assigned_agent_role,assigned_agent_email,rent,management_fee,repair,deposit,misc,total,contractor_company,contractor_contact,contractor_phone,contractor_service_type,note,pay_date
1490,4/21/2022,05/01/2022,5/31/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,991.67,360,0,350,0,281.67,,,,,,4/23/2022
1542,06/07/2022,06/01/2022,6/30/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,149.5,0,15,150.5,SafeGas Services,Bob Williams,0141 445 3333,Gas/Heating,boiler and plubming; credit check,06/08/2022
1573,07/05/2022,07/01/2022,7/15/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,169.35,16.94,0,0,152.41,0,,,,,Council tax,07/05/2022
1623,8/24/2022,,,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,0,0,0,0,-0.01,0.01,,,,,council tax refund,8/24/2022
1645,09/08/2022,09/01/2022,9/30/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,700,35,0,350,0,315,,,,,,09/08/2022
1670,10/07/2022,10/01/2022,10/31/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,60,255,,,,,credit check; Standing charge for empty period on energy meters,10/08/2022
1706,11/01/2022,11/01/2022,11/30/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,220,0,0,95,,,,,,11/01/2022
1748,12/01/2022,12/01/2022,12/31/2022,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,12/01/2022
1753,01/04/2023,01/01/2023,1/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,01/05/2023
1785,02/01/2023,02/01/2023,2/28/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,02/02/2023
1819,03/01/2023,03/01/2023,3/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,03/02/2023
2839,04/03/2023,04/01/2023,4/30/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,04/03/2023
2871,05/02/2023,05/01/2023,5/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,186,0,0,129,SafeGas Services,Bob Williams,0141 445 3333,Gas/Heating,"Annual gas safety & legionella, Supplied & fitted carbon monoxide alarm",05/03/2023
